"names" "transcripts" "pool_ratio" "weighted_length"
"551" "YJL165C" 0.644 27.5015234613
"552" "YPL019C" 0.645 26.1389445558
"553" "YDR333C" 0.645 26.5242209195
"554" "YAR050W" 0.645 30.0037957867
"555" "YDR498C" 0.645 33.3234714004
"556" "YDR458C" 0.646 24.2442205098
"557" "YOR033C" 0.646 27.2837510105
"558" "YPR060C" 0.646 28.0192547691
"559" "YKL022C" 0.646 29.6775410145
"560" "YDL055C" 0.646 29.9859451862
"561" "YFL014W" 0.647 25.9487440597
"562" "YCL024W" 0.647 27.5162074554
"563" "YER036C" 0.647 27.8136694899
"564" "YDL002C" 0.647 30.7216850829
"565" "YGR245C" 0.648 23.3695305014
"566" "YMR089C" 0.649 23.5026688754
"567" "YLR454W" 0.649 24.2215189873
"568" "YCL010C" 0.649 24.8820943245
"569" "YNL059C" 0.649 26.0809732748
"570" "YER167W" 0.649 26.6903986981
"571" "YIR033W" 0.649 27.6945639421
"572" "YCL029C" 0.649 29.3625954198
"573" "YHR075C" 0.649 29.6289829769
"574" "YDR130C" 0.649 32.3563998191
"575" "YFL004W" 0.65 24.6319018405
"576" "YDR473C" 0.65 25.8431223948
"577" "YPR163C" 0.651 24.2670108796
"578" "YLR307W" 0.651 28.3087971275
"579" "YFR056C" 0.651 29.0761055879
"580" "YDR054C" 0.652 25.5707678076
"581" "YNL247W" 0.652 26.1150776984
"582" "YGL196W" 0.653 25.4944251508
"583" "YDR344C" 0.653 26.2532523851
"584" "YGL215W" 0.653 28.6686103013
"585" "YMR284W" 0.654 24.6829946153
"586" "YGR002C" 0.654 26.5479744136
"587" "YCL037C" 0.654 26.5725173728
"588" "YDR457W" 0.654 27.0353982301
"589" "YBL010C" 0.654 27.4512830407
"590" "YBR055C" 0.655 26.1342636244
"591" "YLL020C" 0.655 29.8225976769
"592" "YLR026C" 0.655 31.0149750416
"593" "YDL112W" 0.656 25.0340979541
"594" "YOR261C" 0.656 25.650845386
"595" "YGL092W" 0.657 25.3375479792
"596" "YLR015W" 0.657 26.4747494596
